16,Feb 16,900.0,1.0,1700,vancouver,https://vancouver.craigslist.org/nvn/apa/d/vancouver-master-bedroom-furnished-for/7446951708.html
18,Feb 16,483.0,1.0,2000,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-available-now-bedroom/7446950944.html
19,Feb 16,457.0,1.0,1750,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-available-now-bedroom-newly/7446950790.html
21,Feb 16,551.0,1.0,1850,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bed-bath-pet-friendly-building/7446950047.html
41,Feb 16,450.0,1.0,2000,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-cambie-1bed-close-to-kinged/7445728524.html
54,Feb 16,1100.0,2.0,1995,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-br-sq-ft-bedroom-basement-for/7446932112.html
57,Feb 16,380.0,1.0,1800,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-cat-friendly-studio-apartment/7444913121.html
62,Feb 16,120.0,1.0,180,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-parking-available-downtown/7446925933.html
67,Feb 16,450.0,1.0,1900,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-unit-in-strathcona/7444093948.html
69,Feb 16,,1.0,1096,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-fantastic-one-bedroom-view-of/7446915382.html
73,Feb 16,433.0,1.0,1850,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-list-of-available-renovated/7441283040.html
79,Feb 16,,1.0,1200,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-suite-available/7443053409.html
83,Feb 16,,1.0,1094,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-desirable-bed-bath-town-homes/7446914036.html
87,Feb 16,,1.0,1096,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-corner-unit-in/7446912438.html
92,Feb 16,,1.0,1096,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-in/7446909275.html
96,Feb 16,,1.0,1097,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-one-bedroom-suite-located-in/7446908288.html
98,Feb 16,,1.0,1098,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-remarkable-one-bedroom/7446897242.html
99,Feb 16,,1.0,1099,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bedroom-central-area/7446905912.html
100,Feb 16,600.0,1.0,1450,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-for-rent/7446905695.html
105,Feb 16,,1.0,1099,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-ready-bedroom-home-in-the/7446900045.html
109,Feb 16,550.0,1.0,1399,vancouver,https://vancouver.craigslist.org/van/apa/d/vancouver-riley-park-garden-suite/7446895411.html
